71,74,NETRJS
476,490,Centro Software ERP
1560,1590,1C Enterprise cluster working processes
1714,1764,KDE Connect
2222,2226,ESET Remote administrator
2948,2949,WAP push MMS
3478,3481,Microsoft Teams
4444,4445,I2P HTTP/S proxy
4502,4534,Microsoft Silverlight
4505,4506,Salt master
4610,4640,QualiSystems TestShell Suite Services
5000,5500,League of Legends
5235,5236,Firebase Cloud Messaging
5988,5989,CIM-XML (DMTF protocol)
6000,6063,X11
6024,6025,Tigermeeting Android client discovery
6030,6031,Tigermeeting Admin user discovery
6463,6472,Discord RPC
6560,6561,Speech Dispatcher daemon
6660,6664,Internet Relay Chat
6665,6669,Internet Relay Chat
6783,6785,Splashtop Remote server broadcast
6881,6887,BitTorrent
6889,6890,BitTorrent
6891,6900,BitTorrent or Windows Live Messenger file transfer
6902,6968,BitTorrent
6970,6999,Bittorrent or QuickTime Streaming Server or Vicemeeter VBAN network audio
7652,7654,I2P anonymizing overlay
7657,7660,I2P anonymizing overlay
7707,7708,Killing Floor
7777,7788,Steam or Unreal Tournament
8194,8195,Bloomberg Terminal
8611,8614,Canon BubbleJet
9050,9051,Tor SOCKS-5
10000,20000,VoIP traffic
10201,10204,FRISK f-protd virus scanning daemon
16384,16472,Apple Real-time Transport Protocol
25734,25735,SOLIDWORKS SolidNetworLicense Manager
26900,26901,EVE Online
26909,26911,Action Tanks Online
27000,27006,QuakeWorld master server
27000,27009,FlexNet License server
27000,27015,Steam client traffic
27015,27018,Unturned
27015,27030,Steam matchmaing/HLTV/downloads
27031,27035,Steam straming
27500,27900,QuakeWorld
27901,27910,Quake II
27960,27969,Enemy Territory/Quake III
28770,28771,AssaultCube Reloaded
28785,28786,Cube 2: Sauerbraten
29900,29901,Nintendo Wi-Fi Connection
42081,42090,Zippin store
43504,43505,RuneScape
42590,42595,Glue MakePro X
47808,47823,BACnet Building Automation and Control
